WSBS-TV     |-         |DT |3   |DA  |                    |3  |-  |LIC    |KEY WEST                 |FL |US |BLCDT  -20051031AAH |1.     kW |-         |54.0    |-       |72053      |N |24 |33 |18.00 |W |81  |48 |7.00  |WSBS LICENSING, INC.                                                        |   0.00 km |   0.00 mi |  0.00 deg |54.    m|H       |69987     |75.     |1030880 |51.     |1094562   |
WBBM-TV     |-         |DT |3   |DA  |                    |1  |-  |LIC    |CHICAGO                  |IL |US |BLCDT  -20050623ABL |4.4    kW |-         |447.5   |-       |9617       |N |41 |53 |56.00 |W |87  |37 |23.00 |CBS BROADCASTING INC.                                                       |   0.00 km |   0.00 mi |  0.00 deg |628.4  m|H       |67165     |0.      |1009012 |447.7   |1069502   |
KVNV        |-         |DT |3   |DA  |                    |2  |-  |LIC    |ELY                      |NV |US |BLCDT  -20090527AEK |1.2    kW |-         |276.8   |-       |86537      |N |39 |14 |46.00 |W |114 |55 |36.00 |PMCM TV, LLC                                                                |   0.00 km |   0.00 mi |  0.00 deg |2426.  m|H       |92933     |0.      |-       |15.     |1313348   |
KDLO-TV     |-         |DT |3   |ND  |                    |2  |-  |LIC    |FLORENCE                 |SD |US |BLCDT  -20090619ABC |14.4   kW |-         |513.3   |-       |41975      |N |44 |57 |56.00 |W |97  |35 |22.00 |YOUNG BROADCASTING OF SIOUX FALLS, INC.                                     |   0.00 km |   0.00 mi |  0.00 deg |1066.2 m|H       |87282     |-       |1035408 |503.2   |1316030   |
WBRA-TV     |-         |DT |3   |DA  |                    |2  |-  |LIC    |ROANOKE                  |VA |US |BLEDT  -20030430AAG |7.25   kW |-         |618.0   |-       |5981       |N |37 |11 |46.00 |W |80  |9  |17.00 |BLUE RIDGE PUBLIC TELEVISION, INC.                                          |   0.00 km |   0.00 mi |  0.00 deg |1195.  m|H       |39733     |0.      |1017598 |55.     |658659    |
WDKY-TV     |-         |DT |4   |DA  |                    |2  |-  |LIC    |DANVILLE                 |KY |US |BLCDT  -20050624AAU |26.5   kW |-         |327.4   |-       |64017      |N |37 |52 |51.00 |W |84  |19 |16.00 |WDKY LICENSEE, LLC                                                          |   0.00 km |   0.00 mi |  0.00 deg |590.6  m|H       |64813     |0.      |1240955 |318.7   |1063722   |
WSKY-TV     |-         |DT |4   |DA  |                    |2  |-  |LIC    |MANTEO                   |NC |US |BLCDT  -20071128ADC |12.    kW |-         |274.0   |-       |76324      |N |36 |31 |14.45 |W |76  |18 |16.22 |SKY TELEVISION, L.L.C.                                                      |   0.00 km |   0.00 mi |  0.00 deg |277.9  m|H       |73177     |0.      |1252202 |274.    |1221140   |
WCFT-TV     |-         |DT |5   |DA  |                    |2  |-  |LIC    |TUSCALOOSA               |AL |US |BLCDT  -20040423AAA |9.5    kW |-         |625.4   |-       |21258      |N |33 |28 |48.00 |W |87  |25 |50.00 |TV ALABAMA, INC.                                                            |   0.00 km |   0.00 mi |  0.00 deg |759.   m|H       |46206     |0.      |1033524 |563.9   |988739    |
KNSO        |-         |DT |5   |DA  |                    |2  |-  |LIC    |MERCED                   |CA |US |BLCDT  -20060705AAX |7.     kW |-         |561.6   |-       |58608      |N |37 |4  |19.00 |W |119 |25 |49.00 |NBC TELEMUNDO LICENSE CO.                                                   |   0.00 km |   0.00 mi |  0.00 deg |1395.6 m|H       |72837     |0.      |1219741 |40.6    |1137031   |
WOI-DT      |-         |DT |5   |ND  |                    |2  |-  |LIC    |AMES                     |IA |US |BLCDT  -20090618ACR |11.5   kW |-         |566.0   |-       |8661       |N |41 |48 |33.00 |W |93  |36 |53.00 |CAPITAL COMMUNICATIONS COMPANY, INC.                                        |   0.00 km |   0.00 mi |  0.00 deg |857.2  m|H       |87607     |-       |1043707 |556.    |1316986   |
WGVK        |-         |DT |5   |ND  |                    |1  |-  |LIC    |KALAMAZOO                |MI |US |BLEDT  -20060703ABQ |10.    kW |-         |169.0   |-       |24783      |N |42 |18 |23.00 |W |85  |39 |25.00 |GRAND VALLEY STATE UNIVERSITY                                               |   0.00 km |   0.00 mi |  0.00 deg |432.   m|H       |64587     |-       |1012375 |133.    |1134126   |
